2021-06-16 10:25:54,085 INFO     Starting server at tcp:port=5000:interface=127.0.0.1
2021-06-16 10:25:54,087 INFO     HTTP/2 support not enabled (install the http2 and tls Twisted extras)
2021-06-16 10:25:54,087 INFO     Configuring endpoint tcp:port=5000:interface=127.0.0.1
2021-06-16 10:25:54,088 INFO     Listening on TCP address 127.0.0.1:5000
2021-06-16 11:02:10,854 WARNING  Application instance <Task pending name='Task-11' coro=<ProtocolTypeRouter.__call__() running at /home/sma/.local/lib/python3.8/site-packages/channels/routing.py:71> wait_for=<Future pending cb=[<TaskWakeupMethWrapper object at 0x7f658b6b3790>()]>> for connection <WebSocketProtocol client=['127.0.0.1', 35526] path=b'/ws/prevaluation/'> took too long to shut down and was killed.
2021-06-16 11:02:39,930 WARNING  Application instance <Task pending name='Task-29' coro=<ProtocolTypeRouter.__call__() running at /home/sma/.local/lib/python3.8/site-packages/channels/routing.py:71> wait_for=<Future pending cb=[<TaskWakeupMethWrapper object at 0x7f658b694f70>()]>> for connection <WebSocketProtocol client=['127.0.0.1', 36016] path=b'/ws/prevaluation/'> took too long to shut down and was killed.
2021-06-16 11:02:45,948 WARNING  Application instance <Task pending name='Task-32' coro=<ProtocolTypeRouter.__call__() running at /home/sma/.local/lib/python3.8/site-packages/channels/routing.py:71> wait_for=<Future pending cb=[<TaskWakeupMethWrapper object at 0x7f658b688850>()]>> for connection <WebSocketProtocol client=['127.0.0.1', 36050] path=b'/ws/prevaluation/'> took too long to shut down and was killed.
2021-06-16 11:19:29,649 WARNING  Application instance <Task pending name='Task-52' coro=<ProtocolTypeRouter.__call__() running at /home/sma/.local/lib/python3.8/site-packages/channels/routing.py:71> wait_for=<Future pending cb=[<TaskWakeupMethWrapper object at 0x7f659805ae20>()]>> for connection <WebSocketProtocol client=['127.0.0.1', 42362] path=b'/ws/prevaluation/'> took too long to shut down and was killed.
127.0.0.1:42362 - - [16/Jun/2021:11:09:29] "WSCONNECT /ws/prevaluation/" - -
127.0.0.1:42366 - - [16/Jun/2021:11:09:29] "GET /management/api/v1/overview/allocate/history/?portCode=PFF005" 200 5140
127.0.0.1:42368 - - [16/Jun/2021:11:09:29] "GET /management/api/v1/overview/allocate/?portCode=PFF005" 200 288
127.0.0.1:42372 - - [16/Jun/2021:11:09:29] "GET /management/api/v1/overview/compare/?portCode=PFF005" 200 2522
127.0.0.1:42374 - - [16/Jun/2021:11:09:29] "GET /management/api/v1/overview/pos/?portCode=PFF005" 200 11044
127.0.0.1:42376 - - [16/Jun/2021:11:09:29] "GET /management/api/v1/overview/allocate/avg/?portCode=PFF005&start=&end=" 200 288
127.0.0.1:42370 - - [16/Jun/2021:11:09:29] "GET /management/api/v1/overview/?portCode=PFF005" 200 1721
127.0.0.1:42384 - - [16/Jun/2021:11:09:29] "GET /management/api/v1/overview/questionnairy/?portCode=PFF005" 200 321
127.0.0.1:42362 - - [16/Jun/2021:11:19:19] "WSDISCONNECT /ws/prevaluation/" - -
127.0.0.1:51260 - - [16/Jun/2021:11:19:19] "GET /management/api/v1/analysis/performance/?date=2021-06-16&portCode=PFF005" 200 893
127.0.0.1:51262 - - [16/Jun/2021:11:19:19] "GET /management/api/v1/analysis/attribute/?portCode=PFF005&date=2021-06-16" 200 245
127.0.0.1:51284 - - [16/Jun/2021:11:19:21] "GET /management/api/v1/analysis/fundholding/?portCode=PFF005&date=2021-06-16" 200 16965
127.0.0.1:51286 - - [16/Jun/2021:11:19:21] "GET /management/api/v1/basic/all/" 200 1177
127.0.0.1:51364 - - [16/Jun/2021:11:19:23] "GET /management/api/v1/analysis/fundholding/etf/?portCode=PFF005&date=2021-06-16" 200 9945
127.0.0.1:51366 - - [16/Jun/2021:11:19:23] "GET /management/api/v1/analysis/fundholding/etf_analysis/?port_code=PFF005" 200 4013
127.0.0.1:53010 - - [16/Jun/2021:11:21:13] "WSCONNECTING /ws/prevaluation/" - -
127.0.0.1:53010 - - [16/Jun/2021:11:21:13] "WSCONNECT /ws/prevaluation/" - -
127.0.0.1:53014 - - [16/Jun/2021:11:21:13] "GET /management/api/v1/overview/compare/?portCode=PFF005" 200 2522
127.0.0.1:53022 - - [16/Jun/2021:11:21:13] "GET /management/api/v1/overview/questionnairy/?portCode=PFF005" 200 321
127.0.0.1:53016 - - [16/Jun/2021:11:21:13] "GET /management/api/v1/overview/allocate/?portCode=PFF005" 200 288
127.0.0.1:53020 - - [16/Jun/2021:11:21:13] "GET /management/api/v1/overview/allocate/avg/?portCode=PFF005&start=&end=" 200 288
127.0.0.1:53024 - - [16/Jun/2021:11:21:13] "GET /management/api/v1/overview/pos/?portCode=PFF005" 200 11044
127.0.0.1:53018 - - [16/Jun/2021:11:21:13] "GET /management/api/v1/overview/?portCode=PFF005" 200 1721
127.0.0.1:53034 - - [16/Jun/2021:11:21:13] "GET /management/api/v1/overview/allocate/history/?portCode=PFF005" 200 5140
127.0.0.1:53010 - - [16/Jun/2021:11:21:15] "WSDISCONNECT /ws/prevaluation/" - -
2021-06-16 11:21:25,969 WARNING  Application instance <Task pending name='Task-70' coro=<ProtocolTypeRouter.__call__() running at /home/sma/.local/lib/python3.8/site-packages/channels/routing.py:71> wait_for=<Future pending cb=[<TaskWakeupMethWrapper object at 0x7f658b4f3430>()]>> for connection <WebSocketProtocol client=['127.0.0.1', 53010] path=b'/ws/prevaluation/'> took too long to shut down and was killed.
2021-06-16 13:33:10,988 WARNING  Application instance <Task pending name='Task-86' coro=<ProtocolTypeRouter.__call__() running at /home/sma/.local/lib/python3.8/site-packages/channels/routing.py:71> wait_for=<Future pending cb=[<TaskWakeupMethWrapper object at 0x7f658b0c4eb0>()]>> for connection <WebSocketProtocol client=['127.0.0.1', 53580] path=b'/ws/prevaluation/'> took too long to shut down and was killed.
2021-06-16 13:33:28,047 WARNING  Application instance <Task pending name='Task-101' coro=<ProtocolTypeRouter.__call__() running at /home/sma/.local/lib/python3.8/site-packages/channels/routing.py:71> wait_for=<Future pending cb=[<TaskWakeupMethWrapper object at 0x7f6599981a30>()]>> for connection <WebSocketProtocol client=['127.0.0.1', 60940] path=b'/ws/prevaluation/'> took too long to shut down and was killed.
2021-06-16 13:44:10,270 WARNING  Application instance <Task pending name='Task-116' coro=<ProtocolTypeRouter.__call__() running at /home/sma/.local/lib/python3.8/site-packages/channels/routing.py:71> wait_for=<Future pending cb=[<TaskWakeupMethWrapper object at 0x7f65999961c0>()]>> for connection <WebSocketProtocol client=['127.0.0.1', 42444] path=b'/ws/prevaluation/'> took too long to shut down and was killed.
2021-06-16 14:56:42,156 WARNING  Application instance <Task pending name='Task-136' coro=<ProtocolTypeRouter.__call__() running at /home/sma/.local/lib/python3.8/site-packages/channels/routing.py:71> wait_for=<Future pending cb=[<TaskWakeupMethWrapper object at 0x7f658b4d44c0>()]>> for connection <WebSocketProtocol client=['127.0.0.1', 50948] path=b'/ws/prevaluation/'> took too long to shut down and was killed.
2021-06-16 14:56:51,185 WARNING  Application instance <Task pending name='Task-146' coro=<ProtocolTypeRouter.__call__() running at /home/sma/.local/lib/python3.8/site-packages/channels/routing.py:71> wait_for=<Future pending cb=[<TaskWakeupMethWrapper object at 0x7f6589c564f0>()]>> for connection <WebSocketProtocol client=['127.0.0.1', 51098] path=b'/ws/prevaluation/'> took too long to shut down and was killed.
127.0.0.1:53060 - - [16/Jun/2021:11:21:15] "GET /management/api/v1/analysis/performance/?date=2021-06-16&portCode=PFF005" 200 893
127.0.0.1:53062 - - [16/Jun/2021:11:21:15] "GET /management/api/v1/analysis/attribute/?portCode=PFF005&date=2021-06-16" 200 245
127.0.0.1:53078 - - [16/Jun/2021:11:21:17] "GET /management/api/v1/analysis/fundholding/?portCode=PFF005&date=2021-06-16" 200 16965
127.0.0.1:53080 - - [16/Jun/2021:11:21:17] "GET /management/api/v1/basic/all/" 200 1177
127.0.0.1:53580 - - [16/Jun/2021:11:21:49] "WSCONNECTING /ws/prevaluation/" - -
127.0.0.1:53580 - - [16/Jun/2021:11:21:49] "WSCONNECT /ws/prevaluation/" - -
127.0.0.1:55090 - - [16/Jun/2021:12:53:30] "GET /management/api/v1/cta/" 200 816
127.0.0.1:55088 - - [16/Jun/2021:12:53:30] "GET /management/api/v1/basic/all/" 200 1178
